Year,Month,Day,Temp
2015,4,10,69
2015,4,10,67
2015,4,10,75
2015,4,10,90
2015,4,10,92
2015,4,10,94
2015,4,10,82
2015,4,10,75
2015,4,11,71
2015,4,11,68
2015,4,11,76
2015,4,11,93
2015,4,11,96
2015,4,11,93
2015,4,11,82
2015,4,11,80
2015,4,12,74
2015,4,12,70
2015,4,12,75
2015,4,12,81
2015,4,12,81
2015,4,12,82
2015,4,12,76
2015,4,12,73
2015,4,13,70
2015,4,13,68
2015,4,13,72
2015,4,13,86
2015,4,13,90
2015,4,13,84
2015,4,13,72
2015,4,13,72
2015,4,14,71
2015,4,14,70
2015,4,14,74
2015,4,14,85
2015,4,14,89
2015,4,14,89
2015,4,14,80
2015,4,14,76
2015,4,15,74
2015,4,15,71
2015,4,15,78
2015,4,15,90
2015,4,15,93
2015,4,15,87
2015,4,15,82
2015,4,15,78
2015,4,16,74
2015,4,16,73
2015,4,16,78
2015,4,16,87
2015,4,16,84
2015,4,16,81
2015,4,16,74
2015,4,16,72
2015,4,17,70
2015,4,17,69
2015,4,17,75
2015,4,17,88
2015,4,17,93
2015,4,17,94
2015,4,17,83
2015,4,17,80
2015,4,18,77
2015,4,18,73
2015,4,18,80
2015,4,18,92
2015,4,18,99
2015,4,18,99
2015,4,18,87
2015,4,18,82
2015,4,19,80
2015,4,19,73
2015,4,19,81
2015,4,19,99
2015,4,19,104
2015,4,19,103
2015,4,19,90
2015,4,19,83
2015,4,20,83
2015,4,20,81
2015,4,20,84
2015,4,20,96
2015,4,20,103
2015,4,20,100
2015,4,20,92
2015,4,20,89
2015,4,21,83
2015,4,21,81
2015,4,21,84
2015,4,21,97
2015,4,21,101
2015,4,21,99
2015,4,21,89
2015,4,21,83
2015,4,22,81
2015,4,22,73
2015,4,22,82
2015,4,22,96
2015,4,22,101
2015,4,22,99
2015,4,22,92
2015,4,22,81
2015,4,23,75
2015,4,23,72
2015,4,23,83
2015,4,23,99
2015,4,23,102
2015,4,23,99
2015,4,23,86
2015,4,23,81
2015,4,24,78
2015,4,24,76
2015,4,24,82
2015,4,24,99
2015,4,24,102
2015,4,24,99
2015,4,24,87
2015,4,24,80
2015,4,25,79
2015,4,25,74
2015,4,25,83
2015,4,25,91
2015,4,25,98
2015,4,25,96
2015,4,25,89
2015,4,25,85
2015,4,26,78
2015,4,26,76
2015,4,26,77
2015,4,26,87
2015,4,26,93
2015,4,26,93
2015,4,26,86
2015,4,26,81
2015,4,27,79
2015,4,27,76
2015,4,27,81
2015,4,27,92
2015,4,27,98
2015,4,27,95
2015,4,27,89
2015,4,27,85
2015,4,28,74
2015,4,28,77
2015,4,28,82
2015,4,28,93
2015,4,28,98
2015,4,28,98
2015,4,28,89
2015,4,28,84
2015,4,29,83
2015,4,29,78
2015,4,29,83
2015,4,29,93
2015,4,29,98
2015,4,29,98
2015,4,29,90
2015,4,29,86
2015,4,30,82
2015,4,30,80
2015,4,30,85
2015,4,30,98
2015,4,30,102
2015,4,30,100
2015,4,30,92
2015,4,30,87
2015,5,1,83
2015,5,1,77
2015,5,1,83
2015,5,1,95
2015,5,1,98
2015,5,1,97
2015,5,1,90
2015,5,1,85
2015,5,2,80
2015,5,2,77
2015,5,2,83
2015,5,2,95
2015,5,2,99
2015,5,2,98
2015,5,2,86
2015,5,2,78
2015,5,3,74
2015,5,3,73
2015,5,3,83
2015,5,3,99
2015,5,3,100
2015,5,3,99
2015,5,3,87
2015,5,3,82
2015,5,4,78
2015,5,4,74
2015,5,4,84
2015,5,4,100
2015,5,4,103
2015,5,4,100
2015,5,4,86
2015,5,4,79
2015,5,5,75
2015,5,5,72
2015,5,5,85
2015,5,5,102
2015,5,5,105
2015,5,5,103
2015,5,5,91
2015,5,5,84
2015,5,6,79
2015,5,6,78
2015,5,6,87
2015,5,6,103
2015,5,6,108
2015,5,6,106
2015,5,6,91
2015,5,6,89
2015,5,7,86
2015,5,7,85
2015,5,7,88
2015,5,7,102
2015,5,7,108
2015,5,7,107
2015,5,7,94
2015,5,8,90
2015,5,8,85
2015,5,8,91
2015,5,8,101
2015,5,8,108
2015,5,8,105
2015,5,8,91
2015,5,8,85
2015,5,9,81
2015,5,9,83
2015,5,9,93
2015,5,9,101
2015,5,9,108
2015,5,9,107
2015,5,9,93
2015,5,9,89
2015,5,10,85
2015,5,10,81
2015,5,10,91
2015,5,10,103
2015,5,10,108
2015,5,10,105
2015,5,10,92
2015,5,10,92
2015,5,11,89
2015,5,11,91
2015,5,11,88
2015,5,11,97
2015,5,11,103
2015,5,11,101
2015,5,11,93
2015,5,11,88
2015,5,12,84
2015,5,12,81
2015,5,12,87
2015,5,12,96
2015,5,12,101
2015,5,12,99
2015,5,12,92
2015,5,12,89
2015,5,13,86
2015,5,13,84
2015,5,13,89
2015,5,13,93
2015,5,13,75
2015,5,13,84
2015,5,13,78
2015,5,13,76
2015,5,14,75
2015,5,14,74
2015,5,14,80
2015,5,14,92
2015,5,14,96
2015,5,14,95
2015,5,14,87
2015,5,14,82
2015,5,15,81
2015,5,15,78
2015,5,15,85
2015,5,15,95
2015,5,15,90
2015,5,15,87
2015,5,15,81
2015,5,15,78
2015,5,16,76
2015,5,16,74
2015,5,16,84
2015,5,16,95
2015,5,16,96
2015,5,16,95
2015,5,16,87
2015,5,16,80
2015,5,17,79
2015,5,17,78
2015,5,17,86
2015,5,17,97
2015,5,17,104
2015,5,17,101
2015,5,17,92
2015,5,17,88
2015,5,18,87
2015,5,18,85
2015,5,18,92
2015,5,18,104
2015,5,18,108
2015,5,18,107
2015,5,18,95
2015,5,18,90
2015,5,19,88
2015,5,19,85
2015,5,19,92
2015,5,19,106
2015,5,19,103
2015,5,19,84
2015,5,19,82
2015,5,19,79
2015,5,20,77
2015,5,20,76
2015,5,20,82
2015,5,20,96
2015,5,20,104
2015,5,20,105
2015,5,20,94
2015,5,20,89
2015,5,21,88
2015,5,21,83
2015,5,21,90
2015,5,21,103
2015,5,21,108
2015,5,21,107
2015,5,21,96
2015,5,21,94
2015,5,22,90
2015,5,22,83
2015,5,22,91
2015,5,22,104
2015,5,22,109
2015,5,22,108
2015,5,22,100
2015,5,22,90
2015,5,23,93
2015,5,23,89
2015,5,23,95
2015,5,23,106
2015,5,23,110
2015,5,23,110
2015,5,23,98
2015,5,23,95
2015,5,24,90
2015,5,24,83
2015,5,24,93
2015,5,24,107
2015,5,24,110
2015,5,24,106
2015,5,24,97
2015,5,24,92
2015,5,25,89
2015,5,25,85
2015,5,25,95
2015,5,25,106
2015,5,25,112
2015,5,25,110
2015,5,25,104
2015,5,25,95
2015,5,26,92
2015,5,26,85
2015,5,26,96
2015,5,26,106
2015,5,26,112
2015,5,26,109
2015,5,26,96
2015,5,26,76
2015,5,27,86
2015,5,27,78
2015,5,27,89
2015,5,27,101
2015,5,27,106
2015,5,27,106
2015,5,27,92
2015,5,27,86
2015,5,28,83
2015,5,28,87
2015,5,28,89
2015,5,28,100
2015,5,28,106
2015,5,28,105
2015,5,28,95
2015,5,28,90
2015,5,29,84
2015,5,29,87
2015,5,29,92
2015,5,29,104
2015,5,29,106
2015,5,29,103
2015,5,29,95
2015,5,29,89
2015,5,30,86
2015,5,30,69
2015,5,30,92
2015,5,30,77
2015,5,30,108
2015,5,30,107
2015,5,30,95
2015,5,30,89
2015,5,31,86
2015,5,31,90
2015,5,31,94
2015,5,31,105
2015,5,31,103
2015,5,31,85
2015,5,31,93
2015,5,31,88
2015,6,1,90
2015,6,1,81
2015,6,1,87
2015,6,1,86
2015,6,1,93
2015,6,1,94
2015,6,1,74
2015,6,1,81
2015,6,2,85
2015,6,2,82
2015,6,2,86
2015,6,2,99
2015,6,2,103
2015,6,2,98
2015,6,2,83
2015,6,2,79
2015,6,3,82
2015,6,3,80
2015,6,3,82
2015,6,3,89
2015,6,3,88
2015,6,3,89
2015,6,3,84
2015,6,3,80
2015,6,4,79
2015,6,4,77
2015,6,4,84
2015,6,4,91
2015,6,4,99
2015,6,4,100
2015,6,4,91
2015,6,4,87
2015,6,5,83
2015,6,5,81
2015,6,5,87
2015,6,5,96
2015,6,5,100
2015,6,5,101
2015,6,5,92
2015,6,5,89
2015,6,6,84
2015,6,6,81
2015,6,6,90
2015,6,6,98
2015,6,6,101
2015,6,6,101
2015,6,6,93
2015,6,6,87
2015,6,7,84
2015,6,7,81
2015,6,7,91
2015,6,7,103
2015,6,7,108
2015,6,7,107
2015,6,7,95
2015,6,7,90
2015,6,8,87
2015,6,8,84
2015,6,8,94
2015,6,8,107
2015,6,8,108
2015,6,8,107
2015,6,8,97
2015,6,8,92
2015,6,9,89
2015,6,9,91
2015,6,9,98
2015,6,9,103
2015,6,9,108
2015,6,9,106
2015,6,9,100
2015,6,9,97
2015,6,10,94
2015,6,10,91
2015,6,10,94
2015,6,10,103
2015,6,10,106
2015,6,10,104
2015,6,10,97
2015,6,10,95
2015,6,11,93
2015,6,11,88
2015,6,11,93
2015,6,11,99
2015,6,11,105
2015,6,11,105
2015,6,11,99
2015,6,11,94
2015,6,12,90
2015,6,12,87
2015,6,12,90
2015,6,12,101
2015,6,12,104
2015,6,12,106
2015,6,12,97
2015,6,12,95
2015,6,13,92
2015,6,13,92
2015,6,13,86
2015,6,13,96
2015,6,13,103
2015,6,13,78
2015,6,13,84
2015,6,13,83
2015,6,14,82
2015,6,14,72
2015,6,14,73
2015,6,14,80
2015,6,14,84
2015,6,14,89
2015,6,14,85
2015,6,14,82
2015,6,15,81
2015,6,15,81
2015,6,15,83
2015,6,15,89
2015,6,15,95
2015,6,15,95
2015,6,15,89
2015,6,15,85
2015,6,16,83
2015,6,16,82
2015,6,16,88
2015,6,16,97
2015,6,16,101
2015,6,16,92
2015,6,16,90
2015,6,16,87
2015,6,17,84
2015,6,17,82
2015,6,17,87
2015,6,17,99
2015,6,17,102
2015,6,17,103
2015,6,17,94
2015,6,17,89
2015,6,18,86
2015,6,18,84
2015,6,18,93
2015,6,18,102
2015,6,18,104
2015,6,18,103
2015,6,18,95
2015,6,18,92
2015,6,19,89
2015,6,19,87
2015,6,19,93
2015,6,19,102
2015,6,19,107
2015,6,19,103
2015,6,19,96
2015,6,19,93
2015,6,20,91
2015,6,20,90
2015,6,20,85
2015,6,20,93
2015,6,20,100
2015,6,20,98
2015,6,20,92
2015,6,20,89
2015,6,21,86
2015,6,21,86
2015,6,21,88
2015,6,21,77
2015,6,21,93
2015,6,21,91
2015,6,21,89
2015,6,21,86
2015,6,22,84
2015,6,22,83
2015,6,22,89
2015,6,22,99
2015,6,22,89
2015,6,22,92
2015,6,22,91
2015,6,22,87
2015,6,23,86
2015,6,23,84
2015,6,23,89
2015,6,23,100
2015,6,23,103
2015,6,23,87
2015,6,23,82
2015,6,23,83
2015,6,24,82
2015,6,24,81
2015,6,24,195
2015,6,24,92
2015,6,24,95
2015,6,24,93
2015,6,24,83
2015,6,24,77
2015,6,25,76
2015,6,25,76
2015,6,25,77
2015,6,25,78
2015,6,25,83
2015,6,25,85
2015,6,25,82
2015,6,25,79
2015,6,26,78
2015,6,26,78
2015,6,26,85
2015,6,26,92
2015,6,26,97
2015,6,26,96
2015,6,26,90
2015,6,26,85
2015,6,27,84
2015,6,27,84
2015,6,27,88
2015,6,27,96
2015,6,27,99
2015,6,27,99
2015,6,27,90
2015,6,27,86
2015,6,28,84
2015,6,28,83
2015,6,28,90
2015,6,28,99
2015,6,28,101
2015,6,28,102
2015,6,28,95
2015,6,28,92
2015,6,29,89
2015,6,29,85
2015,6,29,81
2015,6,29,93
2015,6,29,94
2015,6,29,94
2015,6,29,88
2015,6,29,85
2015,6,30,83
2015,6,30,81
2015,6,30,85
2015,6,30,92
2015,6,30,96
2015,6,30,93
2015,6,30,88
2015,6,30,84
2015,7,1,82
2015,7,1,80
2015,7,1,84
2015,7,1,96
2015,7,1,99
2015,7,1,97
2015,7,1,89
2015,7,1,86
2015,7,2,85
2015,7,2,83
2015,7,2,87
2015,7,2,96
2015,7,2,99
2015,7,2,101
2015,7,2,95
2015,7,2,91
2015,7,3,89
2015,7,3,85
2015,7,3,89
2015,7,3,99
2015,7,3,102
2015,7,3,102
2015,7,3,86
